[2026-01-10 20:30:43] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:33:27] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:33:46] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:37:11] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:41:57] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:51:16] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:51:16] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199227088338(Mr.Tefu). Prev online: 745, Server Online: 105306, Online: 5246. Diff online: 4501, All online: 105667, Monday online: 361, Thursday online: 0  
[2026-01-10 20:51:24] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199619700940(france). Prev online: 3072, Server Online: 27993, Online: 1000. Diff online: 19981, All online: 57122, Monday online: 29129, Thursday online: 0  
[2026-01-10 20:51:24] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199085956660(ватафака мазафак). Prev online: 844, Server Online: 24259, Online: 12677. Diff online: 11833, All online: 169020, Monday online: 141050, Thursday online: 0  
[2026-01-10 20:51:24] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199262559452(rcw). Prev online: 6941, Server Online: 1303279, Online: 1907. Diff online: 11833, All online: 1576838, Monday online: 273559, Thursday online: 0  
[2026-01-10 20:51:24] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199812537987(Satoru). Prev online: 11420, Server Online: 138530, Online: 10947. Diff online: 11833, All online: 140174, Monday online: 1644, Thursday online: 0  
[2026-01-10 20:51:24] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199018585185(BossKakoc). Prev online: 21688, Server Online: 1781896, Online: 11947. Diff online: 11833, All online: 3443655, Monday online: 1029477, Thursday online: 0  
[2026-01-10 20:51:24] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199589378100(CRT | paniqaa). Prev online: 729, Server Online: 14702, Online: 666. Diff online: 11833, All online: 14702, Monday online: 0, Thursday online: 0  
[2026-01-10 20:51:24] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199220167888(Butcher SSD). Prev online: 5193, Server Online: 59020, Online: 820. Diff online: 11833, All online: 90764, Monday online: 31744, Thursday online: 0  
[2026-01-10 20:51:24] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199253385242(Nikotik). Prev online: 108, Server Online: 385418, Online: 4010. Diff online: 3902, All online: 820783, Monday online: 371690, Thursday online: 0  
[2026-01-10 20:51:25] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199746244386(8RM_ |_LOID_). Prev online: 18441, Server Online: 143242, Online: 13759. Diff online: 3902, All online: 275667, Monday online: 113427, Thursday online: 0  
[2026-01-10 20:51:25] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199489794309(༺ ꌗꍏꎭꀎꋪꍏꌩ ༻). Prev online: 11255, Server Online: 13308, Online: 13643. Diff online: 2388, All online: 13308, Monday online: 0, Thursday online: 0  
[2026-01-10 20:51:25] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198887723199(『esqd』GM). Prev online: 8071, Server Online: 11873, Online: 12384. Diff online: 4313, All online: 11873, Monday online: 0, Thursday online: 0  
[2026-01-10 20:51:25] production.INFO: Method: getPlayersOnline. Server: 3. Player: 76561199821262476(кава бухаетCS2BGD31.RU). Prev online: 538, Server Online: 473168, Online: 16551. Diff online: 16013, All online: 669733, Monday online: 473168, Thursday online: 0  
[2026-01-10 20:51:25] production.INFO: Method: getPlayersOnline. Server: 3. Player: 76561199784177636([ZOV]Adel Vagina). Prev online: 821, Server Online: 301066, Online: 19126. Diff online: 18305, All online: 301845, Monday online: 301066, Thursday online: 0  
[2026-01-10 20:51:26] production.INFO: Method: getPlayersOnline. Server: 3. Player: 76561198963552642(Alaska). Prev online: 5503, Server Online: 654323, Online: 11519. Diff online: 6016, All online: 2018586, Monday online: 654323, Thursday online: 0  
